Response ID,Name,Email,Score,Asset Title,Comment,Response Timestamp,Notes,Tags,access_level,company_id,company_name,crm,Delighted Browser,Delighted Country,Delighted Device Type,Delighted Operating System,Delighted Page,Delighted Page URL,Delighted Referrer URL,Delighted Source,Delighted Visitor Type,deployment_id,domain,financial_visibility,industry_template,manager,monthly_spend,pro_users,product,projects,psa,retainers,service
115176501,Jane Smith,email1@domain.com,0,0,,2/21/2020 9:24,,,professional,134092,MOVE Consulting,,Chrome,Canada,Desktop,Windows,Stream,deployment.accelo.com,deployment.accelo.com,Web,Returning,,deployment.accelo.com,,engineering,Marie Barker,-111,12,mixed,premium,,,
115174111,Jane Smith,email2@domain.com,0,0,,2/21/2020 9:03,,,professional,148958,DubTree,,Safari,United States,Desktop,Mac,Manager Dashboard,deployment.accelo.com,deployment.accelo.com,Web,,,deployment.accelo.com,,web-design,Tom Ryan,-222,538,mixed,premium,,,
115173259,John James JimmySmit ?,email1@domain.com,0,0,"I'm an employee who doesn't talk about my time logging software... But if I did give a rating, I think I would ding it one level due to the frequency of these ",2/21/2020 8:55,,,professional,148958,DubTree,,Safari,United States,Desktop,Mac,Weekly Timesheet,deployment.accelo.com,deployment.accelo.com,Web,,,deployment.accelo.com,,web-design,Tom Ryan,-333,538,mixed,premium,,,
115162233,John James JimmySmit ?,email2@domain.com,0,0,"Clunky, bloated, not user friendly.",2/21/2020 7:04,,,professional,134637,Applied Creativity,premium,Chrome,United States,Desktop,Mac,Daily Timesheet,deployment.accelo.com,deployment.accelo.com,Web,Returning,,deployment.accelo.com,,digital-marketing,Marie Barker,-444,14,psa,premium,,premium,premium
115158107,John James JimmySmit ?,email1@domain.com,0,0,,2/21/2020 6:20,,,professional,116784,Solutions Technology,premium,Chrome,Saint Barthélemy,Desktop,Windows,Weekly Timesheet,deployment.accelo.com,deployment.accelo.com,Web,Returning,,deployment.accelo.com,,it-consulting,Clay Hagen,-555,19,psa,premium,,premium,premium
115156650,John James JimmySmit ?,email2@domain.com,0,0,,2/21/2020 6:01,,,professional,96180,Pacing Jet,premium,Chrome,United States,Desktop,Windows,Stream,deployment.accelo.com,deployment.accelo.com,Web,Returning,,deployment.accelo.com,,it-consulting,Clay Hagen,-666,21,psa,premium,,premium,premium
115113708,John James JimmySmit ?,email1@domain.com,0,0,,2/20/2020 16:05,,,professional,,The Planet Mars,premium,Chrome,Australia,Desktop,Windows,Task Board,deployment.accelo.com,deployment.accelo.com,Web,Returning,,deployment.accelo.com,,other,Justin Weeder,-777,7,psa,premium,,premium,premium
115063620,John James JimmySmit ?,email2@domain.com,0,0,Generally overwrought design. Way too many menus/submenus/options etc for the functionality it provides.,2/20/2020 9:00,,,professional,,Support My PC,premium,Chrome,Canada,Desktop,Mac,Kareem Schwarz,deployment.accelo.com,deployment.accelo.com,Web,Returning,,deployment.accelo.com,,it-consulting,Tom Ryan,-888,7,psa,premium,,premium,premium
115030500,John James JimmySmit ?,email1@domain.com,0,0,,2/20/2020 1:34,,,professional,,Jump IT,premium,Chrome,United Kingdom,Desktop,Windows,Emailing from IRIS,deployment.accelo.com,deployment.accelo.com,Web,Returning,,deployment.accelo.com,,it-consulting,Marie Barker,-999,17,psa,premium,,premium,premium
115019773,John Smith,email2@domain.com,0,0,,2/19/2020 21:05,,,professional,,Hunter & Payton,premium,Chrome,New Zealand,Desktop,Windows,Task Board,deployment.accelo.com,deployment.accelo.com,Web,Returning,,deployment.accelo.com,,other,Amy Stewart,-1110,76,psa,premium,,premium,premium
115005515,John Smith,email1@domain.com,0,0,,2/19/2020 17:28,,,professional,,Dirty Technology Partners,plus,Chrome,Australia,Desktop,Windows,View Project:,deployment.accelo.com,deployment.accelo.com,Web,Returning,,deployment.accelo.com,,engineering,Amy Stewart,-1221,26,psa,plus,,plus,plus
114986822,John Smith,email2@domain.com,0,0,,2/19/2020 14:09,,,professional,,Slow Tech,premium,Chrome,United States,Desktop,Windows,List Tickets,deployment.accelo.com,deployment.accelo.com,Web,Returning,,deployment.accelo.com,,it-consulting,Ninja Billing,-1332,5,psa,premium,,premium,premium
114984865,John Smith,email1@domain.com,0,0,,2/19/2020 13:51,,,professional,,Hunter & Payton,premium,Chrome,New Zealand,Desktop,Windows,Task Board,deployment.accelo.com,deployment.accelo.com,Web,Returning,,deployment.accelo.com,,other,Amy Stewart,-1443,76,psa,premium,,premium,premium
114976850,Dan Sirower,email2@domain.com,0,0,It sucks,2/19/2020 12:44,,,professional,,X5,premium,Chrome,United States,Desktop,Windows,Manager Dashboard,deployment.accelo.com,deployment.accelo.com,Web,,,deployment.accelo.com,,it-consulting,Ninja Billing,-1554,14,psa,premium,,premium,premium
114845843,Michael Darwin,email1@domain.com,0,0,,2/18/2020 12:32,,,professional,,Die Analog,premium,Firefox,New Zealand,Desktop,Windows,Schedule for Tomasz Buklaho,deployment.accelo.com,deployment.accelo.com,Web,Returning,,deployment.accelo.com,,web-design,Amy Stewart,-1665,21,psa,premium,,premium,premium
114824873,Another Name,email2@domain.com,0,0,,2/18/2020 10:09,,,professional,,Low Brow Consulting,,Firefox,Canada,Desktop,Windows,Manager Dashboard,deployment.accelo.com,deployment.accelo.com,Web,,,deployment.accelo.com,,engineering,Marie Barker,-1776,27,mixed,premium,,,
